epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,44.0027,2.18248,1.44119,2.22299,0.69685,0.66852,0.70796,0.33445,2.13907,1.61544,2.26796,0.0008713,0.0008713,0.0008713
15,46.4701,2.1376,1.46178,2.22063,0.71873,0.57356,0.65107,0.21623,2.32114,1.83473,2.31496,0.0008614,0.0008614,0.0008614
16,48.9516,2.15666,1.45037,2.14088,0.77258,0.58166,0.74737,0.31831,1.89793,1.58183,2.13794,0.0008515,0.0008515,0.0008515
17,51.3701,2.02818,1.32111,2.0723,0.68887,0.79378,0.87247,0.44691,1.78847,1.24181,1.96363,0.0008416,0.0008416,0.0008416
18,53.8042,2.04774,1.40392,2.10461,0.72806,0.90676,0.93233,0.50212,1.69491,1.19074,1.87105,0.0008317,0.0008317,0.0008317
19,56.242,1.86696,1.29045,1.96185,0.8376,0.93342,0.94308,0.49918,1.75385,1.16415,1.89521,0.0008218,0.0008218,0.0008218
20,58.7033,1.89541,1.26182,1.92618,0.76048,0.92301,0.94268,0.5138,1.638,1.20421,1.88619,0.0008119,0.0008119,0.0008119
21,61.1679,1.83562,1.25184,1.91965,0.83516,0.92902,0.93544,0.50851,1.61013,1.12327,1.83035,0.000802,0.000802,0.000802
22,63.6288,1.74975,1.1381,1.84337,0.88858,0.92715,0.96868,0.52154,1.60062,1.04585,1.81183,0.0007921,0.0007921,0.0007921
23,66.0704,1.78667,1.17134,1.83433,0.89552,0.91024,0.95927,0.57324,1.41725,1.06791,1.69723,0.0007822,0.0007822,0.0007822
24,68.5409,1.76612,1.13995,1.8509,0.93244,0.90904,0.96799,0.52619,1.54021,1.05394,1.66305,0.0007723,0.0007723,0.0007723
25,70.9876,1.72471,1.13687,1.76831,0.90149,0.95846,0.96957,0.60474,1.40596,0.98503,1.67146,0.0007624,0.0007624,0.0007624
26,73.5411,1.66729,1.08137,1.74818,0.93168,0.88331,0.96992,0.59091,1.40491,1.0012,1.65901,0.0007525,0.0007525,0.0007525
27,75.9914,1.63892,1.06799,1.70841,0.97897,0.9359,0.97263,0.64156,1.27782,0.95124,1.59374,0.0007426,0.0007426,0.0007426
28,78.4352,1.5738,1.04796,1.65575,0.92524,0.98077,0.97648,0.66948,1.21699,0.90009,1.53589,0.0007327,0.0007327,0.0007327
29,80.8967,1.61535,1.04097,1.6884,0.94082,0.9627,0.98052,0.6433,1.33024,0.91665,1.58472,0.0007228,0.0007228,0.0007228
30,83.3896,1.51961,0.96971,1.57894,0.96944,0.94283,0.97613,0.6451,1.2962,0.8996,1.5506,0.0007129,0.0007129,0.0007129
31,85.9532,1.57747,1.00952,1.62403,0.94781,0.93361,0.98092,0.6442,1.25918,0.89068,1.50624,0.000703,0.000703,0.000703
32,88.4311,1.54209,0.98959,1.65113,0.86106,0.97327,0.97906,0.62724,1.30173,0.96212,1.51598,0.0006931,0.0006931,0.0006931
33,90.8675,1.49918,0.998,1.60492,0.93783,0.97967,0.9806,0.66477,1.18554,0.87153,1.45558,0.0006832,0.0006832,0.0006832
34,93.3282,1.47435,0.96678,1.54202,0.9511,0.89217,0.97138,0.61482,1.43594,0.94002,1.58987,0.0006733,0.0006733,0.0006733
35,95.85,1.47727,0.97069,1.56601,0.94784,0.92212,0.98249,0.67673,1.22386,0.85989,1.45669,0.0006634,0.0006634,0.0006634
36,98.3572,1.441,0.95227,1.53429,0.96485,0.93233,0.9855,0.69772,1.19415,0.89648,1.40185,0.0006535,0.0006535,0.0006535
37,100.844,1.42539,0.98039,1.5391,0.93478,0.92142,0.97774,0.68015,1.16171,0.91563,1.37434,0.0006436,0.0006436,0.0006436
38,103.329,1.39133,0.92742,1.52358,0.97518,0.92541,0.97606,0.67693,1.15962,0.79966,1.37718,0.0006337,0.0006337,0.0006337
39,105.752,1.44459,0.89754,1.5172,0.96748,0.97436,0.9866,0.66146,1.29412,0.81365,1.45403,0.0006238,0.0006238,0.0006238
40,108.156,1.38578,0.89536,1.4652,0.98312,0.9732,0.98844,0.68807,1.15156,0.78425,1.36153,0.0006139,0.0006139,0.0006139
41,110.606,1.32246,0.86898,1.42925,0.97232,0.93657,0.98792,0.70932,1.14506,0.79039,1.36562,0.000604,0.000604,0.000604
